"ll_gissqft","ll_gisacre","landval","parval","usedesc","city"
8648,0.19853,38000,185050,"Residential","Dallas"
11058,0.25386,35000,200000,"Residential","Dallas"
8608,0.1976,34000,131570,"Residential","Dallas"
31360,0.71992,100,100,"Residential","Dallas"
8128,0.18658,35000,147200,"Residential","Dallas"
4602,0.10564,23090,91220,"Residential","Dallas"
16456,0.37776,82250,135100,"Commercial","Dallas"
5064,0.11625,7840,232510,"Residential","Dallas"
4002,0.09187,40000,155760,"Residential","Dallas"
8002,0.18371,38000,159670,"Residential","Dallas"
7798,0.17902,30000,132840,"Residential","Dallas"
7798,0.17902,30000,157300,"Residential","Dallas"
23723,0.5446,40000,283860,"Residential","Dallas"
7683,0.17636,38000,159560,"Residential","Dallas"
9003,0.20668,25000,127260,"Residential","Dallas"
7146,0.16405,25000,108000,"Residential","Dallas"
42550,0.9768,24000,215970,"Residential","Dallas"
10203,0.23423,39000,134250,"Residential","Dallas"
5582,0.12814,38000,101010,"Residential","Dallas"
7453,0.17109,18000,133290,"Residential","Dallas"
7171,0.16462,40000,192200,"Residential","Dallas"
14792,0.33956,40000,190830,"Residential","Dallas"
4689,0.10765,23440,90750,"Residential","Dallas"
7442,0.17084,25000,185080,"Residential","Dallas"
9290,0.21326,28000,143170,"Residential","Dallas"
7002,0.16075,28500,97400,"Residential","Dallas"
9809,0.22519,19000,166000,"Residential","Dallas"
10072,0.23122,49010,88190,"Residential","Dallas"
6702,0.15386,33500,154650,"Residential","Dallas"
10602,0.24338,39000,129550,"Residential","Dallas"
5695,0.13074,45000,292430,"Residential","Dallas"
7794,0.17892,30000,162250,"Residential","Dallas"
7238,0.16617,34200,116370,"Residential","Dallas"
10203,0.23423,39000,129510,"Residential","Dallas"
2607,0.05984,50000,364150,"Residential","Dallas"
29787,0.6838,40000,171520,"Residential","Dallas"
12424,0.2852,40000,133320,"Residential","Dallas"
334,0.00767,100,100,"Residential","Dallas"
49972,1.14719,225500,369010,"Residential","Dallas"
7399,0.16985,38000,196940,"Residential","Dallas"
16180,0.37144,76000,193040,"Residential","Dallas"
10203,0.23423,39000,128900,"Residential","Dallas"
7725,0.17733,25000,128360,"Residential","Dallas"
11659,0.26764,38000,234960,"Residential","Dallas"
54941,1.26124,77970,92010,"Commercial","Dallas"
14199,0.32595,44000,118130,"Residential","Dallas"
28928,0.66408,100,100,"Residential","Dallas"
7102,0.16304,38000,171690,"Residential","Dallas"
3376,0.0775,40000,40000,"Residential","Dallas"
5046,0.11583,45000,299890,"Residential","Dallas"
2553,0.05861,50000,277010,"Residential","Dallas"
8883,0.20392,35000,139040,"Residential","Dallas"
7202,0.16534,40000,126380,"Residential","Dallas"
10451,0.23992,30000,125750,"Residential","Dallas"
8672,0.19908,40000,150750,"Residential","Dallas"
7198,0.16524,30000,132450,"Residential","Dallas"
7399,0.16985,38000,136720,"Residential","Dallas"
16670,0.38268,40000,203980,"Residential","Dallas"
7201,0.16531,35000,159660,"Residential","Dallas"
8015,0.18399,38000,156000,"Residential","Dallas"
16556,0.38007,82770,656670,"Commercial","Dallas"
13642,0.31316,20120,122630,"Residential","Dallas"
7146,0.16405,25000,119850,"Residential","Dallas"
6752,0.155,39000,119700,"Residential","Dallas"
7606,0.1746,30000,171020,"Residential","Dallas"
13788,0.31653,20270,112940,"Commercial","Dallas"
16190,0.37166,40000,123780,"Residential","Dallas"
21425,0.49183,52000,147830,"Residential","Dallas"
7815,0.17941,39000,174280,"Residential","Dallas"
4800,0.1102,40000,128160,"Residential","Dallas"
20061,0.46052,100910,219120,"Residential","Dallas"
11777,0.27037,24000,134990,"Residential","Dallas"
36929,0.84776,35820,78710,"Residential","Dallas"
25771,0.5916,127400,127400,"Commercial","Dallas"
7203,0.16534,40000,202870,"Residential","Dallas"
7231,0.16601,45000,252050,"Residential","Dallas"
7397,0.16981,25000,84730,"Residential","Dallas"
14023,0.32191,38000,228180,"Residential","Dallas"
10068,0.23113,40000,165170,"Residential","Dallas"
4001,0.09185,40000,134300,"Residential","Dallas"
7998,0.18361,38000,197240,"Residential","Dallas"
6061,0.13913,30290,279040,"Residential","Dallas"
10203,0.23423,39000,125000,"Residential","Dallas"
12379,0.28418,61880,97510,"Residential","Dallas"
10171,0.23349,35000,199390,"Residential","Dallas"
39467,0.90603,47320,271950,"Residential","Dallas"
36105,0.82884,72500,224740,"Residential","Dallas"
12189,0.27982,40000,280430,"Residential","Dallas"
11704,0.26868,39000,116400,"Residential","Dallas"
27863,0.63964,50720,254850,"Residential","Dallas"
8260,0.18963,49540,84230,"Residential","Dallas"
7498,0.17212,30000,89330,"Residential","Dallas"
4010,0.09206,25000,98090,"Residential","Dallas"
6752,0.155,39000,160670,"Residential","Dallas"
6045,0.13878,30280,197480,"Residential","Dallas"
2669,0.06127,50000,350940,"Residential","Dallas"
14902,0.3421,30000,154200,"Residential","Dallas"
12857,0.29514,38000,183640,"Residential","Dallas"
3626,0.08324,18130,18130,"Commercial","Dallas"
7287,0.16728,24000,110570,"Residential","Dallas"
8553,0.19634,35000,141500,"Residential","Dallas"
10507,0.2412,39000,216460,"Residential","Dallas"
24819,0.56974,61500,130680,"Residential","Dallas"
6008,0.13791,35000,166870,"Residential","Dallas"
16907,0.38812,48000,189120,"Residential","Dallas"
7438,0.17076,52000,247350,"Residential","Dallas"
2430,0.05578,15000,34380,"Residential","Dallas"
6601,0.15153,38000,199250,"Residential","Dallas"
9363,0.21495,46800,179120,"Residential","Dallas"
6491,0.14902,38000,152410,"Residential","Dallas"
14487,0.33257,35000,203660,"Residential","Dallas"
8077,0.18543,25000,119200,"Residential","Dallas"
17593,0.40387,50000,138110,"Residential","Dallas"
11716,0.26896,58000,58000,"Commercial","Dallas"
15164,0.3481,44000,147440,"Residential","Dallas"
11193,0.25694,38000,161080,"Residential","Dallas"
10325,0.23703,61930,175120,"Residential","Dallas"
4794,0.11004,40000,199550,"Residential","Dallas"
4263,0.09787,30000,181250,"Residential","Dallas"
9353,0.21472,46750,101840,"Residential","Dallas"
7202,0.16534,40000,120670,"Residential","Dallas"
25648,0.58878,40000,140120,"Residential","Dallas"
59255,1.36029,34000,320600,"Residential","Dallas"
9840,0.22589,25000,146300,"Residential","Dallas"
3104,0.07125,22950,85000,"Commercial","Dallas"
6779,0.15563,30000,151590,"Residential","Dallas"
8841,0.20296,40000,145180,"Residential","Dallas"
7202,0.16534,40000,172260,"Residential","Dallas"
8092,0.18577,38000,158240,"Residential","Dallas"
7501,0.17219,38000,185510,"Residential","Dallas"
11112,0.25509,40000,138280,"Residential","Dallas"
6752,0.15501,38000,157360,"Residential","Dallas"
16568,0.38034,50000,233240,"Residential","Dallas"
6037,0.13858,35000,118740,"Residential","Dallas"
7815,0.17941,39000,164790,"Residential","Dallas"
9363,0.21495,46800,134840,"Residential","Dallas"
8883,0.20392,35000,138760,"Residential","Dallas"
6200,0.14234,50000,137260,"Residential","Dallas"
7330,0.16826,25000,110240,"Residential","Dallas"
12480,0.28648,35000,159490,"Residential","Dallas"
7202,0.16534,40000,146780,"Residential","Dallas"
4002,0.09187,40000,175960,"Residential","Dallas"
11112,0.25509,38000,143000,"Residential","Dallas"
6002,0.13779,18000,122300,"Residential","Dallas"
12364,0.28384,40000,214600,"Residential","Dallas"
7202,0.16534,35000,118250,"Residential","Dallas"
13121,0.3012,40000,173620,"Residential","Dallas"
20372,0.46768,39630,111170,"Commercial","Dallas"
10150,0.23301,40000,210650,"Residential","Dallas"
10068,0.23114,40000,149650,"Residential","Dallas"
7315,0.16792,25000,133320,"Residential","Dallas"
9489,0.21784,47430,151630,"Residential","Dallas"
7878,0.18084,38000,163670,"Residential","Dallas"
27511,0.63155,51410,271470,"Residential","Dallas"
16075,0.36903,39000,209280,"Residential","Dallas"
47492,1.09024,108900,322910,"Residential","Dallas"
4098,0.09407,40000,122260,"Residential","Dallas"
24717,0.56741,55000,407380,"Residential","Dallas"
14513,0.33317,40000,217070,"Residential","Dallas"
7878,0.18084,38000,219440,"Residential","Dallas"
9909,0.22748,48750,126680,"Residential","Dallas"
16009,0.36751,48000,172270,"Residential","Dallas"
13376,0.30707,26740,26740,"Commercial","Dallas"
5044,0.1158,25000,121390,"Residential","Dallas"
2430,0.05578,15000,34380,"Residential","Dallas"
6752,0.15501,38000,164340,"Residential","Dallas"
5398,0.12392,38000,163440,"Residential","Dallas"
13159,0.30207,40000,121180,"Residential","Dallas"
2430,0.05578,15000,34380,"Residential","Dallas"
5603,0.12862,40000,141310,"Residential","Dallas"
7808,0.17925,25000,124370,"Residential","Dallas"
9183,0.21081,45900,118640,"Residential","Dallas"
6761,0.15522,31500,31500,"Residential","Dallas"
7298,0.16753,25000,220650,"Residential","Dallas"
10008,0.22975,40000,144650,"Residential","Dallas"
8697,0.19965,20000,198710,"Residential","Dallas"
4263,0.09787,30000,160980,"Residential","Dallas"
9942,0.22822,40000,144650,"Residential","Dallas"
6475,0.14865,24000,105860,"Residential","Dallas"
10203,0.23423,39000,128300,"Residential","Dallas"
12755,0.2928,63750,353740,"Commercial","Dallas"
12755,0.2928,63750,185900,"Residential","Dallas"
13702,0.31456,40000,174720,"Residential","Dallas"
2333,0.05355,50000,363420,"Residential","Dallas"
13806,0.31694,18000,107490,"Residential","Dallas"
11380,0.26123,65000,88730,"Commercial","Dallas"
8601,0.19746,16000,180780,"Residential","Dallas"
15005,0.34446,46000,185020,"Residential","Dallas"
2993,0.06871,50000,355530,"Residential","Dallas"
8457,0.19415,25000,109930,"Residential","Dallas"
9942,0.22822,40000,159310,"Residential","Dallas"
2553,0.05861,50000,338080,"Residential","Dallas"
10008,0.22975,40000,139460,"Residential","Dallas"
13130,0.30141,40000,232700,"Residential","Dallas"
10504,0.24113,30000,130510,"Residential","Dallas"
12964,0.29762,40000,191470,"Residential","Dallas"
12584,0.28889,40000,229960,"Residential","Dallas"
12584,0.28889,40000,169490,"Residential","Dallas"
6122,0.14054,38000,133750,"Residential","Dallas"
18680,0.42882,50000,251550,"Residential","Dallas"
4018,0.09224,15000,34380,"Residential","Dallas"
8194,0.18811,40000,276140,"Residential","Dallas"
16099,0.36957,40500,188880,"Residential","Dallas"
42548,0.97675,39040,39040,"Residential","Dallas"
5591,0.12835,52000,262960,"Residential","Dallas"
9291,0.21329,18000,48670,"Residential","Dallas"
7399,0.16985,38000,164150,"Residential","Dallas"
7407,0.17003,25000,103620,"Residential","Dallas"
7115,0.16334,38000,190680,"Residential","Dallas"
17256,0.39614,22500,76830,"Residential","Dallas"
